Sample_Name,ML
SB278344517,69
SB278344518,127
SB278344519,847
SB278344520,12
SB278344522,73
SB278344523,1193
SB278344524,95
SB278344526,69
SB278344527,127
SB278344528,131
SB278344529,963
SB278344530,69
SB278344531,6083
SB278344532,73
SB278344533,2604
SB278344535,131
SB278344536,357
SB278344537,73
SB278344538,104
SB278344539,416
SB278344540,69
SB278344541,550
SB278344542,127
SB278344544,127
SB278344545,-
SB278344546,141
SB278344547,131
SB278344548,404
SB278344555,4088
SB278344557,95
SB278344561,127
SB278344565,131
SB278344567,95
SB278344568,607
SB278344569,69
SB278344570,73
SB278344571,1193
SB278344574,127
SB278344575,95
SB278344576,1326
SB278344577,428
SB278344579,80
SB278344581,73
SB278344583,131
SB278344584,131
SB278344586,-
SB278344587,127
SB278344589,69
SB278344590,538
SB278344591,1193
SB278344592,73
SB278344593,73
SB278344596,1193
SB278344598,3478
SB278344599,69
SB278344600,93
SB278344602,998
SB278344603,38
SB278344605,1278
SB278344606,428
SB278344608,131
SB278344610,73
SB278344613,95
SB278344614,73
SB278344615,929
SB278344616,676
SB278344618,357
SB278344619,404
SB278344621,62
SB278344623,12
SB278344624,69
SB278344626,210
SB278344627,404
SB278344628,73
SB278344629,1193
SB278344630,131
SB278344632,131
SB278344633,95
SB278344636,714
SB278344637,73
SB278344639,93
SB278344641,95
SB278344643,144
SB278344648,998
SB278344649,73
SB278344650,1193
SB278344651,2015
SB278344652,12
SB278344653,349
SB278344655,2562
SB278344656,95
SB278344657,6826
SB278344660,420
SB278344661,404
SB278344662,155
SB278344663,357
SB278344665,73
SB278344671,34
SB278344672,131
SB278344673,69
SB278344674,95
SB278344675,131
SB278344676,127
SB278344677,404
SB278344679,69
SB278344680,101
SB278344682,69
SB278344683,127
SB278344684,1193
SB278344685,127
SB278344686,372
SB278344687,131
SB278344688,131
SB278344689,7331
SB278344690,95
SB278344692,95
SB278344693,1193
SB278344694,95
SB278344695,420
SB278344696,95
SB278344697,73
SB278344698,73
SB278344699,95
SB278344700,73
SB278344701,95
SB278344702,-
SB278344703,73
SB278344704,10
SB278344705,131
SB278344707,95
SB278344708,95
SB278344710,83
SB278344711,69
SB278344712,127
SB278344715,144
SB278344716,69
SB278344717,131
SB278344718,127
SB278344720,404
SB278344721,62
SB278344722,569
SB278344723,12
SB278344724,2015
SB278344725,744
SB278344726,127
SB278344727,127
SB278344728,131
SB278344729,58
SB278344730,73
SB278344731,10
SB278344732,73
SB278344733,372
SB278344734,181
SB278344735,48
SB278344736,10
SB278344738,847
SB278344739,-
SB278344746,127
SB278344749,131
SB278344751,73
SB278344752,101
SB278344753,38
SB278344756,73
SB278344758,127
SB278344759,218
SB278344760,95
SB278344761,73
SB278344762,1326
SB278344763,404
SB278344764,69
SB278344766,73
SB278344767,569
SB278344768,517
SB278344769,73
SB278344770,69
SB278344772,95
SB278344773,95
SB278344775,-
SB278344776,-
SB278344784,73
SB278344785,69
SB278344786,131
SB278344787,95
SB278344791,484
SB278344792,101
SB278344793,420
SB278344794,131
SB278344796,95
SB278344797,10
SB278344798,144
SB278344799,1193
SB278344801,4087
SB278344802,69
SB278344803,6599
SB278344804,95
SB278344807,95
SB278344808,23
SB278344809,73
SB278344810,12
SB278344812,73
SB278344813,1844
SB278344814,69
SB278344815,95
SB278344816,95
SB278344817,1049
SB278344818,410
SB278344819,641
SB278344820,101
SB278344821,73
SB278344822,95
SB278344825,1262
SB278344826,95
SB278344827,-
SB278344828,1193
SB278344829,131
SB278344830,95
SB278344833,127
SB278344843,349
SB278344844,10
SB278344850,2585
SB278344858,95
SB278344864,69
SB278344866,106
SB278344869,69
SB278344870,-
SB278344872,-
SB278344873,349
SB278344876,73
SB278344878,3863
SB278344891,420
SB278344892,2619
SB278344893,1859
SB278344897,131
SB278344899,127
SB278344901,349
SB278344905,127
SB278344907,349
SB278344909,-
SB278344910,127
SB278344914,1231
SB278344920,-
SB278344935,372
SB278344936,62
SB278344937,420
SB278344939,420
SB278344940,216
SB278344941,-
SB278344943,10
SB278344944,131
SB278344945,73
SB278344946,95
SB278344947,141
SB278344948,-
SB278344951,998
SB278344952,73
SB278344953,93
SB278344954,73
SB278344955,420
SB278344957,95
SB278344958,95
SB278344959,372
SB278344960,359
SB278344961,95
SB278344962,38
SB278344964,131
SB278344965,393
SB278344967,131
SB278344970,131
SB278344971,73
SB278344972,69
SB278344975,5506
SB278344976,12
SB278344977,58
SB278344978,73
SB278344979,69
SB278344980,1308
SB278344981,12
SB278344984,-
