MLST,ML,Clade,Clade_Shorten
ST2207,2207,CL-M,CM1
ST3478,3478,CL-M,CM1
ST215,215,CL-M,CM1
ST6078,6078,CL-M,CM1
ST2491,2491,CL-M,CM1
ST6003,6003,CL-M,CM1
ST6074,6074,CL-M,CM1
ST1721,1721,CL-M,CM1
ST4358,4358,CL-M,CM1
ST450,450,CL-M,CM1
ST5542,5542,CL-M,CM1
ST6018,6018,CL-M,CM1
ST48,48,CL-M,CM1
ST1303,1303,CL-M,CM1
ST1785,1785,CL-M,CM1
ST746,746,CL-M,CM1
ST6082,6082,CL-M,CM1
ST218,218,CL-M,CM1
ST3338,3338,CL-M,CM1
ST761,761,CL-M,CM1
ST189,189,CL-M,CM1
ST165,165,CL-M,CM1
ST5995,5995,CL-M,CM1
ST4558,4558,CL-M,CM1
ST1114,1114,CL-M,CM1
ST1716,1716,CL-M,CM1
ST226,226,CL-M,CM1
ST695,695,CL-M,CM1
ST206,206,CL-M,CM1
ST1244,1244,CL-M,CM1
ST793,793,CL-M,CM1
ST6071,6071,CL-M,CM1
ST542,542,CL-M,CM1
ST6103,6103,CL-M,CM1
ST6016,6016,CL-M,CM1
ST1594,1594,CL-M,CM1
ST6023,6023,CL-M,CM1
ST3941,3941,CL-M,CM1
ST93,93,CL-M,CM1
ST2253,2253,CL-M,CM1
ST1684,1684,CL-M,CM1
ST2223,2223,CL-M,CM1
ST665,665,CL-M,CM1
ST3107,3107,CL-M,CM1
ST47,47,CL-M,CM1
ST3745,3745,CL-M,CM1
ST1122,1122,CL-M,CM1
ST216,216,CL-M,CM1
ST580,580,CL-M,CM1
ST4935,4935,CL-M,CM1
ST6007,6007,CL-M,CM1
ST398,398,CL-M,CM1
ST6102,6102,CL-M,CM1
ST871,871,CL-M,CM1
ST6008,6008,CL-M,CM1
ST5997,5997,CL-M,CM1
ST46,46,CL-M,CM1
ST2041,2041,CL-M,CM1
ST1421,1421,CL-M,CM1
ST6114,6114,CL-M,CM1
ST1973,1973,CL-M,CM1
ST1115,1115,CL-M,CM1
ST361,361,CL-M,CM1
ST409,409,CL-M,CM1
ST1316,1316,CL-M,CM1
ST176,176,CL-M,CM1
ST197,197,CL-M,CM1
ST540,540,CL-M,CM1
ST181,181,CL-M,CM1
ST541,541,CL-M,CM1
ST1434,1434,CL-M,CM1
ST536,536,CL-M,CM1
ST2531,2531,CL-M,CM1
ST2606,2606,CL-M,CM1
ST635,635,CL-M,CM1
ST6085,6085,CL-M,CM1
ST399,399,CL-M,CM1
ST6002,6002,CL-M,CM1
ST4980,4980,CL-M,CM1
ST607,607,CL-M,CM1
ST6083,6083,CL-M,CM1
ST1972,1972,CL-M,CM1
ST2795,2795,CL-M,CM1
ST5295,5295,CL-M,CM1
ST1429,1429,CL-M,CM1
ST3202,3202,CL-M,CM1
ST515,515,CL-M,CM1
ST1629,1629,CL-M,CM1
ST6009,6009,CL-M,CM1
ST6076,6076,CL-M,CM1
ST1011,1011,CL-M,CM1
ST2485,2485,CL-M,CM1
ST753,753,CL-M,CM1
ST645,645,CL-M,CM1
ST57,57,CL-M,CM1
ST371,371,CL-M,CM1
ST350,350,CL-M,CM1
ST5281,5281,CL-M,CM1
ST2792,2792,CL-M,CM1
ST1621,1621,CL-M,CM1
ST3018,3018,CL-M,CM1
ST182,182,CL-M,CM1
ST1718,1718,CL-M,CM1
ST6020,6020,CL-M,CM1
ST180,180,CL-M,CM1
ST200,200,CL-M,CM1
ST1278,1278,CL-H2,CH2
ST6112,6112,CL-H2,CH2
ST73,73,CL-H2,CH2
ST1735,1735,CL-H2,CH2
ST1618,1618,CL-H2,CH2
ST1262,1262,CL-H2,CH2
ST6090,6090,CL-H2,CH2
ST6089,6089,CL-H2,CH2
ST6081,6081,CL-H2,CH2
ST5999,5999,CL-H2,CH2
ST104,104,CL-H2,CH2
ST127,127,CL-H2,CH2
ST6091,6091,CL-H2,CH2
ST6087,6087,CL-H2,CH2
ST6092,6092,CL-H2,CH2
ST6105,6105,CL-H2,CH2
ST1946,1946,CL-H2,CH2
ST372,372,CL-H2,CH2
ST141,141,CL-H2,CH2
ST6095,6095,CL-H2,CH2
ST998,998,CL-H2,CH2
ST1159,1159,CL-H2,CH2
ST135,135,CL-H2,CH2
ST2554,2554,CL-H2,CH2
ST420,420,CL-H2,CH2
ST569,569,CL-H2,CH2
ST363,363,CL-H2,CH2
ST95,95,CL-H2,CH2
ST6080,6080,CL-H2,CH2
ST421,421,CL-H2,CH2
ST2619,2619,CL-H2,CH2
ST6104,6104,CL-H2,CH2
ST1231,1231,CL-H2,CH2
ST6107,6107,CL-H2,CH2
ST416,416,CL-H2,CH2
ST418,418,CL-H2,CH2
ST140,140,CL-H2,CH2
ST5644,5644,CL-H2,CH2
ST144,144,CL-H2,CH2
ST2626,2626,CL-H2,CH2
ST355,355,CL-H2,CH2
ST1161,1161,CL-H2,CH2
ST2017,2017,CL-H2,CH2
ST1444,1444,CL-H2,CH2
ST126,126,CL-H2,CH2
ST961,961,CL-H2,CH2
ST12,12,CL-H2,CH2
ST2604,2604,CL-H2,CH2
ST544,544,CL-H2,CH2
ST646,646,CL-H2,CH2
ST1386,1386,CL-H2,CH2
ST978,978,CL-H2,CH2
ST452,452,CL-H2,CH2
ST321,321,CL-H2,CH2
ST2015,2015,CL-H2,CH2
ST681,681,CL-H2,CH2
ST2227,2227,CL-H2,CH2
ST134,134,CL-H2,CH2
ST919,919,CL-H2,CH2
ST491,491,CL-H2,CH2
ST706,706,CL-H2,CH2
ST404,404,CL-H2,CH2
ST6098,6098,CL-H2,CH2
ST6097,6097,CL-H2,CH2
ST1193,1193,CL-H2,CH2
ST550,550,CL-H2,CH2
ST80,80,CL-H2,CH2
ST636,636,CL-H2,CH2
ST2622,2622,CL-H2,CH2
ST6084,6084,CL-H2,CH2
ST4260,4260,CL-H2,CH2
ST429,429,CL-H2,CH2
ST1852,1852,CL-H2,CH2
ST428,428,CL-H2,CH2
ST6013,6013,CL-H2,CH2
ST357,357,CL-H2,CH2
ST2556,2556,CL-H2,CH2
ST538,538,CL-H2,CH2
ST1170,1170,CL-H2,CH2
ST1385,1385,CL-H2,CH2
ST83,83,CL-H2,CH2
ST6110,6110,CL-H2,CH2
ST1317,1317,CL-H2,CH2
ST1236,1236,CL-H2,CH2
ST555,555,CL-H2,CH2
ST91,91,CL-H2,CH2
ST6086,6086,CL-H2,CH2
ST6100,6100,CL-H2,CH2
JJ1887,JJ1887,CL-H2,CH2
ST543,543,CL-H2,CH2
ST131,131,CL-H2,CH2
ST3778,3778,CL-H2,CH2
ST3258,3258,CL-H2,CH2
ST117,117,CL-H2,CH2
ST5993,5993,CL-H2,CH2
ST4045,4045,CL-H2,CH2
ST5881,5881,CL-H2,CH2
ST5940,5940,CL-H2,CH2
ST6005,6005,CL-H2,CH2
ST6010,6010,CL-H2,CH2
ST5899,5899,CL-H2,CH2
ST657,657,CL-H2,CH2
ST1163,1163,CL-H2,CH2
ST738,738,CL-H2,CH2
ST5156,5156,CL-H2,CH2
ST6006,6006,CL-H2,CH2
ST1319,1319,CL-H2,CH2
ST5459,5459,CL-H2,CH2
ST1276,1276,CL-H2,CH2
ST3228,3228,CL-H2,CH2
ST457,457,CL-H2,CH2
ST3301,3301,CL-H2,CH2
ST2171,2171,CL-H2,CH2
ST59,59,CL-H2,CH2
ST2618,2618,CL-H2,CH2
ST62,62,CL-H2,CH2
ST648,648,CL-H2,CH2
ST6111,6111,CL-H1,CH1
ST778,778,CL-H1,CH1
ST38,38,CL-H1,CH1
ST6017,6017,CL-H1,CH1
ST963,963,CL-H1,CH1
ST115,115,CL-H1,CH1
ST2309,2309,CL-H1,CH1
ST405,405,CL-H1,CH1
ST6108,6108,CL-H1,CH1
ST5931,5931,CL-H1,CH1
ST1652,1652,CL-H1,CH1
ST362,362,CL-H1,CH1
ST6106,6106,CL-H1,CH1
ST1670,1670,CL-H1,CH1
ST6025,6025,CL-H1,CH1
ST3933,3933,CL-H1,CH1
ST393,393,CL-H1,CH1
ST31,31,CL-H1,CH1
ST130,130,CL-H1,CH1
ST1158,1158,CL-H1,CH1
ST501,501,CL-H1,CH1
ST720,720,CL-H1,CH1
ST69,69,CL-H1,CH1
ST106,106,CL-H1,CH1
ST6012,6012,CL-H1,CH1
ST394,394,CL-H1,CH1
ST1380,1380,CL-H1,CH1
ST4243,4243,CL-H1,CH1
ST6014,6014,CL-H1,CH1
ST2200,2200,CL-H1,CH1
ST5135,5135,CL-H1,CH1
ST1117,1117,CL-H1,CH1
ST1406,1406,CL-H1,CH1
ST70,70,CL-H1,CH1
ST349,349,CL-H1,CH1
ST108,108,CL-H1,CH1
ST973,973,CL-H1,CH1
ST1914,1914,CL-H1,CH1
ST747,747,CL-H1,CH1
ST4134,4134,CL-H1,CH1
ST3057,3057,CL-H1,CH1
ST770,770,CL-H1,CH1
ST7235,7235,CL-H2,CH2
ST373,373,CL-M,CM1
ST1564,1564,CL-M,CM1
ST4978,4978,CL-M,CM1
ST7232,7232,CL-M,CM1
ST5840,5840,CL-H1,CH1
ST7231,7231,CL-M,CM1
ST7233,7233,CL-M,CM1
ST3572,3572,CL-M,CM1
ST1249,1249,CL-M,CM1
ST424,424,CL-M,CM1
ST5612,5612,CL-M,CM1
ST7092,7092,CL-H2,CH2
ST14,14,CL-H2,CH2
ST3856,3856,CL-M,CM1
ST10224,10224,CL-H2,CH2
ST-1215,1215,CL-H2,CH2
ST10215,10215,CL-H2,CH2
ST10214,10214,CL-H2,CH2
ST10217,10217,CL-H1,CH1
ST10211,10211,CL-H2,CH2
ST10213,10213,CL-H2,CH2
ST28,28,CL-H2,CH2
ST10218,10218,CL-H2,CH2
ST10219,10219,CL-M,CM1
ST10222,10222,CL-H2,CH2
ST10225,10225,CL-M,CM1
ST278,278,CL-M,CM1
ST10233,10233,CL-M,CM1
ST9962,9962,CL-H2,CH2
ST10223,10223,CL-H1,CH1
ST10237,10237,CL-H2,CH2
ST10239,10239,CL-M,CM1
ST10240,10240,CL-H2,CH2
ST10242,10242,CL-M,CM1
ST10244,10244,CL-M,CM1
ST10235,10235,CL-M,CM1
ST10238,10238,CL-M,CM1
ST10249,10249,CL-H2,CH2
ST10269,10269,CL-M,CM1
ST10263,10263,CL-H2,CH2
ST168,168,CL-M,CM1
ST10256,10256,CL-M,CM1
ST10257,10257,CL-M,CM1
ST10261,10261,CL-M,CM1
ST10260,10260,CL-H2,CH2
ST10262,10262,CL-H2,CH2
ST10227,10227,CL-M,CM1
ST10266,10266,CL-H1,CH1
ST10267,10267,CL-H2,CH2
ST10268,10268,CL-H1,CH1
ST568,568,CL-H2,CH2
ST10270,10270,CL-M,CM1
ST10273,10273,CL-H2,CH2
ST10275,10275,CL-H2,CH2
ST10279,10279,CL-H2,CH2
ST-1220,1220,CL-H2,CH2
ST10283,10283,CL-M,CM1
ST10282,10282,CL-H1,CH1
ST1850,1850,CL-M,CM1
ST10280,10280,CL-M,CM1
ST10284,10284,CL-H1,CH1
ST10291,10291,CL-H2,CH2
ST10285,10285,CL-H2,CH2
ST10298,10298,CL-H2,CH2
ST10286,10286,CL-M,CM1
ST10287,10287,CL-M,CM1
ST10297,10297,CL-H1,CH1
ST2172,2172,CL-M,CM1
ST205,205,CL-M,CM1
ST3640,3640,CL-M,CM1
ST3033,3033,CL-H2,CH2
ST8442,8442,CL-M,CM1
ST1257,1257,CL-H2,CH2
ST8441,8441,CL-M,CM1
ST4450,4450,CL-M,CM1
ST8448,8448,CL-M,CM1
ST8197,8197,CL-H2,CH2
ST549,549,CL-H1,CH1
ST10410,10410,CL-H2,CH2
ST10401,10401,CL-H2,CH2
ST10414,10414,CL-H2,CH2
ST1722,1722,CL-H2,CH2
ST485,485,CL-H1,CH1
ST618,618,CL-H2,CH2
ST625,625,CL-H2,CH2
ST446,446,CL-M,CM1
ST1310,1310,CL-M,CM1
ST703,703,CL-H2,CH2
ST2179,2179,CL-M,CM1
ST11057,11057,CL-H2,CH2
ST2141,2141,CL-H2,CH2
ST8371,8371,CL-H1,CH1
ST6726,6726,CL-M,CM1
ST5425,5425,CL-H2,CH2
ST11364,11364,CL-H1,CH1
ST11491,11491,CL-H1,CH1
ST219,219,CL-M,CM1
ST2964,2964,CL-H1,CH1
ST1431,1431,CL-M,CM1
ST1598,1598,CL-M,CM1
ST7698,7698,CL-H2,CH2
ST2705,2705,CL-M,CM1
ST2006,2006,CL-M,CM1
ST7882,7882,CL-H2,CH2
ST7890,7890,CL-M,CM1
ST354,354,CL-H2,CH2
ST8346,8346,CL-M,CM1
ST8502,8502,CL-H2,CH2
ST3863,3863,CL-M,CM1
ST8505,8505,CL-H2,CH2
ST8504,8504,CL-H2,CH2
ST8503,8503,CL-H2,CH2
ST8500,8500,CL-H2,CH2
ST6402,6402,CL-M,CM1
ST8262,8262,CL-M,CM1
ST4040,4040,CL-H1,CH1
ST1196,1196,CL-M,CM1
ST11,11,CL-M,CM1
ST7893,7893,CL-M,CM1
ST9113,9113,CL-M,CM1
ST9116,9116,CL-M,CM1
ST929,929,CL-H2,CH2
ST6975,6975,CL-M,CM1
ST547,547,CL-H2,CH2
ST52,52,CL-M,CM1
ST9127,9127,CL-H1,CH1
ST676,676,CL-H2,CH2
ST9128,9128,CL-H1,CH1
ST3045,3045,CL-H1,CH1
ST3672,3672,CL-H2,CH2
ST9129,9129,CL-H1,CH1
ST1882,1882,CL-H1,CH1
ST8590,8590,CL-M,CM1
ST68,68,CL-H1,CH1
ST2552,2552,CL-H2,CH2
ST4554,4554,CL-H2,CH2
ST7428,7428,CL-M,CM1
ST1623,1623,CL-M,CM1
ST-2156,2156,CL-H1,CH1
ST79,79,CL-H2,CH2
ST245,245,CL-M,CM1
ST161,161,CL-M,CM1
ST4373,4373,CL-H2,CH2
ST1664,1664,CL-M,CM1
ST-1154,1154,CL-M,CM1
ST567,567,CL-H2,CH2
ST526,526,CL-H2,CH2
ST8938,8938,CL-H1,CH1
ST2562,2562,CL-H1,CH1
ST1300,1300,CL-M,CM1
ST8951,8951,CL-H2,CH2
ST7234,7234,CL-H2,CH2
ST131cplx,131,CL-H2,CH2
