"Sample_Name","training","MLST","Human_CL1","Human_CL2","Chicken_CL1","Chicken_CL2","Pork","CL1","CL2","EL18","EL19","EL2","EL3","EL35","EL36","EL37","EL38","EL39","EL40","EL41","EL42","EL43","EL44","EL45","EL46","EL50"
"SB2710445291",1,"ST399",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"SB279407192",1,"ST73",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB279407461",1,"ST12",0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"SB2710196138",1,"ST127",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB278791800",1,"ST973",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
"SB2710196122",1,"ST95",0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710445293",1,"ST101",0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
"SB279407308",1,"ST95",0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"SB2710442583",1,"ST847",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SB2710441504",1,"ST8588",0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"SB279407474",1,"ST69",0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"SB2713433821",1,"ST399",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"SB279407459",1,"ST69",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710196090",1,"ST1193",0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710196257",1,"ST117",0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"SB278790458",1,"ST131",0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"SB2710442184",1,"ST399",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"SB2710445369",1,"ST73",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB279407081",1,"ST69",0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"SB2710442208",1,"ST5865",0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
